No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
104,AES ORGANISATION,"PLOT 21 IBANDA MAIN STREET IBANDA,P.O. BOX 05, IBANDA","IBANDA, KIRUHURA, KAMWENGE, KITAGWEHDA","TO CARRY OUT IT'S ACTIVITIES IN THE FIELDS OF COMMUNITY EMPOWERING, SUPPORT CHIL",INDR150273822NB,INDP0003822NB
105,AFAAYO CHILD HEALTH EDUCATION AND REHABILITATION U,"KABEMBE VILLAGE, KYAMPISI SUB COUNTY, MUKONO",MUKONO,TO PROMOTE THE RIGHTS OF VULNERABLE KIDS,INDR106213115NB,INDP106213115NB
106,AFAAYO CHRISTIAN CHILDREN'S ORGANISATION,KAMPALA; NAKULABYE ZONE 6; P.O. BOX 5392 KAMPALA,KAMPALA,SUPPORTING CHILDREN FOR FORMAL EDUCATION AND LIVELIHOOD SKILLS; PROVIDE BASIC HE,INDR140551478NB,INDP0001478NB
107,AFAAYO MISSION INTERNATIONAL,"LUWERO; BUKUMI PARISH, ZIROBWE, SUB COUNTY, P.O. BOX 113 LUWERO",LUWERO,"TO PLANT CHURCHES, SCHOOLS, HOSPITALS, EVANGELISM, SUPPORTING ORPHANS AND VULNER",INDR152414154NB,INDP0004154NB
108,AFH-UGANDA CARES,KAMPALA; AIDS HEALTH FOUNDATION PLOT 54B KIRA ROAD P.O. BOX 22914 KAMPALA,COUNTRYWIDE,PROVIDING MEDICAL CARE TO HIV/AIDS PATIENTS; COUNSELLING AND TESTING; CAPACITY B,INTR8189709NB,INTP7719709NB
109,AFRAH DEVELOPMENT & RELIEF AGENCY,"KAMPALA; PLOT 205 HILLS HOUSE; 1ST FLOOR, KIBUYE-ENTEBBE ROAD. P.O. BOX 7090 KAM",COUNTRYWIDE,"PROVIDING RELIEF AND EMERGENCY SRVICES FOR DIPALCED PEOPLE; FORMAL EDUCATION, HE",INDR8838964NB,INDP8322964NB
110,AFRICA SUSTAINABLE TOURISM CARE FOUNDATION,,COUNTRYWIDE,,INDR112822693NB,INDR107602693NB
111,AFRICA 2000 NETWORK-UGANDA,KAMPALA; PLOT 70 BUKOTO STREET KAMWOKYA; P.O. BOX 21990 KAMPALA,COUNTRY WIDE,TO PROVIDE COMMUNITY EMPOWERMENT THROUGH IMPROVING THE LIVELIHOOD OF THE POOR AN,INDR37544228NB,INDP34794228NB
112,AFRICA ATROCITIES WATCH,"KAMPALA; NAGURU 11,NAGURU HILL VILLAGE-NAKAWA DIVISION",KAMPALA,TO PROVIDE EARLY WARNING TO AFRICAN COUNTRIES ON POSSIBLE CONFLICTS LINK UP WITH,CONTR116205372NB,CONTP111665372NB
113,AFRICA CENTER FOR APOLOGETICS RESEARCH,"KAMPALA; P.O. BOX 72405 CLOCK TOWER, KAMPALA",COUNTRYWIDE,"MONITORING, TRAINING AND EQUIPING RELIGIUOS LEADERS AND RESEARCH",INDR85811857NB,INDP81781857NB
114,AFRICA CENTRE FOR ENERGY AND MINERAL POLICY,KAMPALA; PLOT 1874 NAMUGONGO BULOOLI; P.O. BOX 106123 KAMPALA,WAKISO,TO PROMOTE GOOD GOVERNANCE,INDR126473050NB,INDP122943050NB
115,AFRICA CENTRE FOR ENVIRONMENTAL MANAGEMENT AND DEV,KAMPALA; PLOT 25 HANCOCK ROAD NTINDA,KAMPALA,"PROMOTE BIODIVERSITY CONSERVATION, ENVIORNMENTAL LITERACY LIVELIHOOD",INDR158514978NB,INDP0004978NB
116,AFRICA CHRISTIAN HEALTH ASSOCIATION PLATFORM,"KAMPALA;PO BOX 4127 PLOT 728 UPBM CLOSE BALINTUMA ROAD MENGO,UGANDA PROTESTANT M",KAMPALA,TO FACILITATE NETWORKING AND COMMUNICATION AMONG CHRISTIANS,REGR159705146NB,REGP0005146NB
117,AFRICA CHRISTIAN TRAINING MINISTRIES,KAMPALA; P. O. BOX 31214 KAMPALA,COUNTRYWIDE,CHRISTIAN LEADERSHIP; TRAINING AND ESTABLISHMENT OF BIBLE COLLEGES; RELIEF AND S,INDR3202886NB,INDP3005886NB
118,AFRICA DEVELOPMENT PROMISE,"PLOT 1818,KIWALE,NDAZABAZADDE CELL,,KABUBU WARD KASANGATI TOWN COUNCIL -WAKISO D",WAKISO,IMPLEMENTING AGRICULLTURAL COOPERATIVE PROGRAMS IN RURAL COMMUNITIES PROVIDING T,INTR119381249NB,INTP114861249NB
119,AFRICA EDUCATION AND LEADERSHIP INITIATIVE UGANDA,KAMPALA; PLOT 41 STRECHER RD; P.O. BOX 70008 NTINDA,COUNTRYWIDE,INCREASING EDUCATION ACCESS FOR GIRLS; IMPROVING STUDENT RETENTION RATES AND CAR,INDR116101517NB,INDP112591517NB
120,AFRICA FAMILY RESEARCH,"JINJA DISTRICT, IGAR PLAZA, PLOT 16, MAINSTREET",JINJA,TO ENGAGE IN COMMUNITY WORK DEVELOPMENT,INDR149703580NB,INDP0003580NB
121,AFRICA FARMERS MEDIA CENTRE,"WAKISO DISTRICT,FARMERS STREET,OFF KAMPALA -JINJA HOGHWAY AT VJOMAYO STONES,PLOT",COUNTRYWIDE,"TO CARRY ON THE BUSINESS OF CLIMATE CHANGE AND ADVOCACY AND TRAINING,ESTABLISHI",IND145172219NB,INDP0002219NB
122,AFRICA FORWARD CHRISTIAN MINISTRIES,KAMPALA; KABALAGALA CENTRAL ZONE GGABA RD; BOX 110318 KAMPALA,KAMPALA,"PREACHING THE GOSPEL, CHURCH PLANTING, ESTABLISH CHRISTIAN SCHOOLS",INDR122705569NB,INDP119665569NB
123,AFRICA FOUNDATION UGANDA,MUKONO DISTRICT,MUKONO,TO REHABILITATE HOMELESS STREET CHILDREN,INDR1383696NB,INDP1203696NB
124,AFRICA FREEDOM FOR INFORMATION CENTRE,"P.O. BOX 94, OLD KIRA ROAD, KAMPALA",KAMPALA,TO CAMPAIGN FOR ADOPTION OF INFORMATION LAWS,,
125,AFRICA FUTURE FELLOWSHIP,KAMPALA; PLOT 11B MAKERERE HILL RD; KAWEMPE SOUTH DIVISION MULUKA I PARISH ZONE,KAMPALA,ADDRESSING SOCIO ECONOMIC CHALLENGES AND DEVELOPMENT OPOORTUNITIES IN RURAL AREA,FORR157884976NB,FORP0004976NB
126,AFRICA GOSPEL CHURCH,KISUGI NAMUWONGO,KAMPALA,TO PROCLAIM THE WORD OF GOD,INDR83112969NB,INDP82302969NB
127,AFRICA GREATER LIFE MISSION,"WAKISO DISTRICT, PLOT 20 MAKINDYE, ENTEBBE ROAD MUNYONYO",COUNTRYWIDE,TO PROMOTE EVANGELISM,INDR27982312NB,INDP25632312NB
128,AFRICA HARVEST MISSION,KAMPALA; PLOT 1239 BLOCK 243 KITINTALE; P.O BOX 8468 KAMPALA,KAMPALA,TO PROMOTE EVANGLISM,INDR5495128NB,INDP5245128NB
129,AFRICA HEARTS COMMUNITY ORGANISATION,"PLOT 1265, BLOCK 10 NSIBAMBI ROAD",KAPMALA,TO HELP THE NEEDY,INDR69183194NB,INDP63833194NB
130,AFRICA HUB FOR INOVATION,"KAMPAL; PLOT 7 KULUBYA CLOSE, BUGOLOBI-1A, NTINDA-NAKAWA ROAD; P.O. BOX 33821 KA",COUNTRY WIDE,TO PROVIDE INNOVATION GRANTS TO ORGANISATIONS,CONTR150903937NB,CONTP0003937NB
131,AFRICA INLAND CHURCH OF UGANDA,"BUSIA DISTRICT, TIIRA ROAD, PLOT 13, 2KM OFF BUSIA TOWN",BUSIA,TO PROMOTE EVANGELISM,INDR5443666NB,INDP7513666NB
132,AFRICA INLAND MISSION INTERNATIONAL,"WAKISO; PLOT 5 LUBOWA ESTATES SEGUKU WARD NDEJJE DIVISION, MAKINDYE SSABAGABO; P",COUNTRYWIDE,"PROVIDE CHRISTIAN EDUCATION, HEALTH CARE AND EVANGELISM",INTR5604247NB,INTP4084247NB
133,AFRICA LEADERSHIP INSTITUTE,KAMPALA; PLOT 7 KULUBYA CLOSE OFF PRINCESS ANNE DRIVE BUGOLOBI; BOX 25898 KAMPAL,KAMPALA,INFLUENCING THE POLICY ENVIRONMENT THROUGH DOCUMENTATION AND RESEARCH,INDR74503019NB,INDP69853019NB
134,AFRICA NON-PROFIT CHORE,"P.O. BOX 37041, KAMPALA",KAMPALA,"TO PROVIDE MITIGATION, TRANSFORMATION AND EXTRACTIVE GOVERNANCE",INDR12480212NB,INDP12151212NB
135,AFRICA POPULATION INSTITUTE,WAKISO; NAKUWADDE VILLAGE NAKABUGO PARISH OFF NORTHERN BYPASS - MASANAFU ROUND A,WAKISO,"COMMUNITY BASED EDUCATION; FOOD SECURITY, CAPACITY BUILDING/TRAININGS;REPRODUCTI",INDR151244001NB,INDP0004001NB
136,AFRICA REVIVAL MINISTRIES,"KAMPALA DISTRICT,BUSEGA CENTRAL B ZONE P.O. BOX 5181, KAMPALA",COUNTRYWIDE,TO PREACH THE GOSPEL OF JESUS CHRIST,INDR63882515NB,INDP59222515NB
137,AFRICA SOCIAL DEVELOPMENTAL AND HEALTH INITIATIVE,"SSENYI LANDING SITE SSI- BUKUNJA SUB-COUNTY, BUIKWE DISTRICT",BUIKWE,TO IMPROVE THE QUALITY OF LIFE,INDR148573413NB,INDP0003413NB
138,AFRICA TOURISM AND ENVIRONMENT INITIATIVES,"KAMPALA; PLOT 1 PILIKINGTON RD, SOUTH WING FLLOR 9 WORKERS HOUSE",KAMAPLA,PROMOTION OF SUSTAINABLE TOURISM AND ENVIRONMENTAL PROTECTION BY INFORMATION SHA,INDR160115492NB,INDP0005492NB
139,AFRICA VILLAGE OUT - REACH,"P.O. BOX 8763, KAMPALA","KAMPALA, KABAROLE, MPIGI, LUWERO, RAKAI",TO PREACH THE GOSPEL,INDR1823903NB,INDP2223903NB
140,AFRICA WATER SOLUTIONS,KAMPALA; KYAMBOGO PLOT 5 FARM ROAD; P.O. BOX,COUNTRYWIDE,REDUCING INCIDENCES OF WATER AND SANITATIONRELATED DISAESES; MITIGATE ENVIRONMEN,INDR13540294NB,INDP000294NB
141,AFRICA WILDLIFE FOUNDATION/USA,KAMPALA; PLOT 9 BUKOTO CRESCENT NAGURU; BOX 10056 KAMPALA,KAMPALA,"COMMUNITY CINSERVATION, GORILLA CONSERVATION, WILD LIFE CLUBS",INTR3874871NB,INTP3234871NB
142,AFRICA YOUTH LEADERSHIP DEVELOPMENT AND HEALTH,"KAMPALA; CHURCH VILLAGE, PLOT 283, WILLIS RD NAMIREMBE; P.O. BOX 27597 KAMPALA",KAMPALA,"ESTABLISH AND MAINTAIN CAPACITY BUILDING, INCREASE AWARENESS ON NON-COMMUNICABLE",INDR81564290NB,INDP76664290NB
143,AFRICAN CHILDREN'S MISSION,"NAKASONGOLA DISTRICT, P.O. BOX 9242, KAMPALA UGANDA EAST AFRICA, EKITANGAALA RAN","NAKASONGOLA, HOIMA",TO PROVIDE SPIRITUAL AND PHYSICAL SUPPORT TO ORPHANS,INTR61332505NB,INTP58362505NB
144,AFRICAN YOUTH AND CHILDREN'S ART WELFARE ACADEMY,"P.O. BOX 37504, KAMPALA",KAMPALA,TO PROVIDE NUTRITIONAL FOOD TO CHILDREN,INDR1340860NB,INDP000060NB
145,AFRICAN AGENCY FOR INTERGRATED DEVELOPMENT,KABAROLE; PLOT 71 BWAMBA RD RWENGOMA; BOX 815 FORT PORTAL,COUNTRYWIDE,HEALTH CARE AND NATURAL ESOURCE MANAGEMENT; LIFE SKILLS,INDR31123889NB,INDP28903889NB
146,AFRICAN AGENCY FOR RELIEF AND DEVELOPMENT INITIATI,,COUNTRYWIDE,,INDR150253778NB,INDP0003778NB
147,AFRICAN BIBLE UNIVERSITY (FORMERLY AFRICA BIBLE CO,"P.O. BOX 71242,CLOCK TOWER","KAMPALA, WAKISO",TO PROMOTE EVANGELISM,INTR32182817NB,INTP29732817NB
148,AFRICAN CENTRE FOR GLOBAL HEALTH AND SOCIAL TRANSF,"PLOT 13B, ACACIA AVENUE, KOLOLO, KAMPALA",KAMPALA,TO IMPROVE THE QUALITY OF LIFE OF PEOPLE,INDR147292876NB,INDP0002876NB
149,AFRICAN CENTRE FOR HEALTH REFORM,"KAMPALA DISTRICT, P.O. 386, KAMPALA",KAMPALA,TO PROMOTE ACCESS TO HEALTH CARE AND LIFE SAVING HEALTH CARE SERVICES,,
150,AFRICAN CENTRE FOR HUMANITARIAN EXECELLENCE,"KAMPALA;BMK BUILDING,WAMPEWO AVENUE; P.O. BOX 34360 KAMPALA","ISINGIRO,YUMBE,KAMPALA AND KASESE",TO DELIVER EFFICIENT AND EFFECTIVE HUMANITARIAN PROGRAMS,INDR156834842NB,INDP0004842NB
151,AFRICAN CENTRE FOR JUSTICE AND PEACE STUDIES,"FLAT B -4 PLOT 26 KIMERA CLOSE, NAGURU, KAMPALA",COUNTRYWIDE,TO CONDUCT RESEARCH ON JUSTICE &PEACE BUILDING,FORR141092072NB,FORP0002072NB
152,AFRICAN CENTRE FOR MEDIA EXCELLENCE,"KAMPALA; PLOT 124 NANJALA ROAD, BUNGA; P.O. BOX 11283 KAMPALA",COUNTRYWIDE,"ADVOCATING, PROMOTING AND DEFENDING PRESS FREEDOM AND FREEDOM OF EXPRESSION; INS",INDR13324708NB,INDP13063708NB
153,AFRICAN CENTRE FOR PEACE AND HUMAN LIFE,WAKISO; KIREKA KIRA OFF OLD JINJA ROAD; P.O. BOX 50038 KAMPALA,COUNTRYWIDE,HUMANITARIAN AND RELIEF ERADICATING POVERTY AND HUNGER PROMOTING BETTER HEALTH S,INDR111032732NB,INDP105572732NB
154,AFRICAN CENTRE FOR TRADE AND DEVELOPMENT,"KAMPALA; PLOT 2 AGAPE CLOSE, NTINDA KIGOOWA ON KIWATULE ROAD; P.O. BOX 16452 KAM",COUNTRYWIDE,POVERTY ELLEVIATION THROUGH CAPACITY BUILDING AND INFORMATION,INDR45161196NB,INDP41681196NB
155,AFRICAN CHILD DEVELOPMENT TRUST,"KAMPALA; MENGO BOX 34565, KAMPALA",KAMPALA,ESTABLISH AND CARRY OUT EDUCATIONAL TRUST; AWARENESS ABOUT THE NEEDS OF OVCS AND,INDR13750853NB,INDP000853B
156,AFRICAN CHRISTIAN FELLOWSHIP UGANDA,KAMPALA; PLOT 89 MAKAMBA RD LUNGUJJA; P.O. BOX 35045 KAMPALA,KAMPALA,TO ESTABLISH ACHILDREN CENTER,INDR78765078NB,INDP76335078NB
157,AFRICAN CONFLICT RESOLUTION INITIATIVE,MUKONO; SEETA GOMA; P.O. BOX 34100 KAMPALA,"MUKONO, WAKISO, KAMPALA, AMURIA, KUMLI, LIRA, GULU","BUILDING THE CAPACITIES OF UGANDAN YOUTH TO MANAGEMENT CONFLICTS, PROVIDE DECENT",INDR152604146NB,INDP0004146NB
158,AFRICAN CURRICULUM ASSOCIATION,"KAMPALA; NATIONAL CURRIUCLUM DEVELOPMENT CENTRE, KYAMBOGO HILL; P.O. BOX 24008 K",COUNTRYWIDE,STRENGTHENING NATIONAL CURRICULUM OF MEMEBR COUNTRIES; NETWORKING; JOINT TRAINIG,CONR141061447NB,CONP0001447NB
159,AFRICAN DEVELOPMENT INTERNATIONAL YOUTH MOVEMENT O,"KAMPALA; BUKOTO, PLOT 117 MUKALAZI RD; P.O. BOX 50034 KAMPALA",COUNTRYWIDE,"SET UP INNOVATION, VALUE ADDITION AND INCUBATION CENTRES; ESTABLISH A PAN AFRICA",INDR139301168NB,INDP0001168NB
160,AFRICAN DIVERSITY AND INCLUSION CENTER,ENTEBBE; PLOT 24 NSAMIZI ROAD NEAR MAGALA TOWN,ENTEBBE,"ADVOCACY DRIVES, RESEARCH, WOMEN EMPOWERMENT",FORR153754441NB,FORP0004441NB
161,AFRICAN DREAM INITIATIVE UGANDA,MUKONO; PLOT 1095 SSEETA BAJJO; BOX 23984 KAMPALA,MUKONO,TO EDUCATE VULNERABLE CHILDREN,INTR104192878NB,INTP99872878NB
162,AFRICAN ENERGY AND MINERALS MANAGEMENT INITIATIVE,KAMPALA; PLOT 26 BUGANDA ROAD; P.O. BOX 27946 KAMPALA,COUNTRYWIDE,ADVOCATING FOR AND PROVIDING PROTECTIVE EQUIPMENTS FOR ARTFICAL MINERS; EDUCATIN,INDR13639488NB,INDP000488NB
163,AFRICAN EVANGELISTIC ENTERPRISES,KAMPALA; PLOT 14 BERKELEY RD; P.O. BOX 30768 KAMPALA,COUNTRYWIDE,"EVANGELISM, MORAL REHABILITATION, RELIEF, PHC, CHILD CARE PROGRAMS",INDR1882696NB,INDP1392696NB
164,AFRICAN FERTILIZER AND AGRIBUSINESS PARTNERSHIP IN,"KAMPALA; NTINDA PLOT 16-18 STRETCHER ZONE, VUBABIRYENGE RD",KAMPALA,DEVELOPING AND SUPPORTING COMPETITIVE AND SUSTAINABLE AGRICULTURAL MARKETS FOR S,INTR154524554NB,INTP0004554NB
165,AFRICAN FIELD EPIDEMIOLOGY NETWORK,"KAMPALA; LUGOGO HOUSE, GROUND FLOOR (WINGS B&C) PLOT 42 LUGOGO BY-PASS. P.O. BOX",COUNTRYWIDE,SRENGTHEN CAPCITY IN APPLIED FIELD EPIDEMIOLOGY AND LABORATORY TRAINING; ADVOCAC,INTR133291056NB,INTP0001056NB
166,AFRICAN FORUM FOR AGRICULTURE ADVISORY SERVICES,KAMPALA; PLOT 22A NAKASERO ROAD; P.O. BOX 34624 KAMPALA,KAMPALA,A FORUM FOR AGRICULTURAL RESEARCH IN AFRICA AND ADVISORY SERVICES TO MEMBERS IN,INDR109241121NB,INDP108181121NB
167,AFRICAN FORUM FOR MUSLIM COUNCILS,KAMPALA; NATIONAL MOSQUE PLOT 2325 OLD KAMPALA ROAD; P.O. BOX 1146 KAMPALA,KAMPALA,IMPROVING STANDARDS OF LIVING AND ADVOCACY,CONR13654616NB,CONP000616NB
168,AFRICAN HUMAN RESOURCES INITIATIVE STRATEGIES,"KAMPALA; PLOT 815 BLOCK 250 OFF GGABA RD; P.O. BOX 70303 SOWETO RD KANSANGA, KAM",COUNTRYWIDE,"PROMOTING EDUCATION, ART AND CRAFT; TECHNOLOGICAL SKILLS OF ARTISAN AND ENVIRONM",INDR42421736NB,INDP55661736NB
169,AFRICAN HUMANITARIAN ACTION,KAMPALA; GGABA ROAD KANSANGA PLOT 4285 BLOCK 244; P.O. BOX 7730 KAMPALA,COUNTRYWIDE,"HUMANITARIAN AID, REFUGEES, RELIEF AND DEVELOPMENT PROJECTS",INTR14122027NB,INTP12852027NB
170,AFRICAN INITIATIVE FOR YOUTH AND WOMEN,WAKISO; SUZI HOUSE NDEJJE DIVISION MAKINDYE SSABAGABO; P.O. BOX KAMPALA,COUNTRYWIDE,"HUMAN RIGHTS PROMOTION, REHABILITATION AND RELIEF",INDR144682006NB,INDP0002006NB
171,"AFRICAN INITIATIVES FOR MISSION, EDUCATION AND DE",WAKISO; PLOT 2589 LUBOWA; P.O. BOX 23155 KAMPALA,KAMPALA,"PROMOTING CHILDREN'S EDUCATION, RESEARCH AND PUBLICATION",INDR58894438NB,FORP55764438NB
172,AFRICAN INNOVATIONS INSTITUTE,,COUNTRYWIDE,,INDR6444719NB,INDP5967719NB
173,AFRICAN INSTITUTE FOR CULTURE AND ECOLOGY,"MUTESA1 ROAD, NAKULABYE, RUBAGA DIVISION, KAMPALA DISTRICT",KAMPALA,TO EMPOWER CULTURAL NUTRITION,INDR145392782NB,INDP0002782NB
174,AFRICAN INSTITUTE FOR INVESTIGATIVE JOURNALISM,"KAMPALA; PLOT 12163,OAK BUILDING, KIRA-BULINDO ROAD",KAMPALA,"TO ESTABLISH A CENTRE OF EXECELLENCE, PROMOTE SOCIAL JUSTICE, HUMAN RIGHTS,DEMOC",INDR156894784NB,INDP0004784NB
175,AFRICAN INTERNATIONAL CHRISTIAN MINISTRY,"KABALE; PLOT M 374 RUSHAMBYA RD KIRIGIME WARD, SOUTHERN DIV; P.O. BOX 459 KABALE",COUNTRYWIDE,COMMUNITY EMPOWERMENT THROUGH EDUCATION AND SUPPLY OF SCHOLASTIC MATERIALS TO SC,INDR289913NB,INDP85913NB
176,AFRICAN LEADERSHIP AND RECONCILIATION MINISTRIES,KAMPALA; PLOT 1422 BUYE ROAD SEMPAGALA ZONE BUKOTO II PARISH NAKAWA DIVISION P.O,KAMPALA,COMMUNITY DEVELOPMENT PROJECTS AND PROMOTING CHRISTIAN TEACHING,INDR38203995NB,INDP35363995NB
177,AFRICAN NETWORK FOR CHANGE,"OYAM; ATAPARA TRADING CENTRE, OCINI PARISH, KAMDINI SC; BOX 70 KAMDINI",OYAM,"PROTECT VULNERABLE GROUPS AGAINST MALARIA, DIARRHEA AND PNEUMONIA IN LOCAL COMMU",INDR161435449NB,INDP0005449NB
178,AFRICAN NETWORK FOR THE CARE OF CHILDREN AFFECTED,KAMPALA; PLOT 4 HANNINGTON RD; P.O. BOX 7484 KAMPALA,KAMPALA,INCREASING HIV/AIDS AWARENESS AMONG COMMUNITIES,INDR118104593NB,INDP113824593NB
179,AFRICAN NUTRITION AGENCY,"KAMPALA; WABIGALO CHURCH VILLAGE, WABIGALO PARISH IN MAKINDYE DIVISION; P.O.BOX",GULU,"TO IMPROVE FOOD AND NUTRITION RATES , DEVELOPMENT OF FOOD SECURITY PROJECTS AND",INDR151694059NB,INDR0004059NB
180,AFRICAN PALLIATIVE CARE ASSOCIATION,"KAMPALA,PLOT 95,DR GIBBONS ROAD, MAKINDYE",COUNTRYWIDE,"TO PROMOTE STANDARDS OF PALLIATIVE CARE, DRUG AVAILABILITY AND ENCOURAGING IBFOR",FORR4575330NB,FORP4231330NB
181,AFRICAN PARTNERS FOR CHILD POVERTY,"MUKONO DISTRICT, SEETA OFF BUKERERE ROAD, PLOT 373, MALIBA ROAD BLOCK 105, P.O.",MUKONO,TO ERADICATE POVERTY,INDR149343586NB,INDP0003586NB
182,AFRICAN PRISONS PROJECT,"KAMPALA; MUTUNGO HILL ROAD BLOCK 237, PLOT 431 LUZIRA; P.O. BOX 50046, KAMPALA",COUNTRYWIDE,"TO PROMOTE WELFARE, EDUCATION, AND HEAL OF PRISONERS IN UGANDA",INTR83902099NB,INTP79212099NB
183,AFRICAN RANGE LAND INITIATIVE FOR DEVELOPMENT,,COUNTRYWIDE,,INDR4509540NB,INDP4594540NB
184,AFRICAN REFUGE SPORTS INITIATIVE,"ADJUMAN;BOX 225,NYUMANZI VILLAGE,ADJUMAN DISTRICT",ADJUMANI,"TO PROMOTE SPORTS ,TRAINING AND TEACHING SPORTS SCHOLARSHIPS.",INDR158104951NB,INDP0004951NB
185,AFRICAN RESPONSE FOUNDATION,"HOIMA; KALYABUHIIRE LC I, SOUTH WARD, KAHOORA DIVISION, HOIMA MUNICIPALITY; P.O.",HOIMA,"CONTRIBUTING TO MEETING THE PHYSICAL, MENTAL/EMOTIONAL/SPIRITUAL NEEDS OF ORPHAN",INDR13699739NB,INDP000739NB
186,AFRICAN REVIVAL INTERNATIONAL IN UGANDA,GULU; PLOT 130 JOMO KENYATTA ROAD; P.O. BOX 131 GULU,GULU; NWOYA; LAMWO; AMURU; AGAGO AND PADER,SUPPORTING BASIC EDUCATION FOR CHILDREN AND VOCATIONAL TRAINING; HEALTH AND AGRI,INTR86061753NB,INTP80961753NB
187,AFRICAN STEPPINGSTONES FOUNDATION,P.O.BOX 5206 JINJA,WAKISO,"TO PROTECT WILDLIFE SPECIES, CREATING DETERRANCE TOWARDS WILDLIFE PACHING AND TR",FORP0005597NB,FORR163335597NB
188,AFRICAN STEPPINSTONES FOUNDATION,"OP.O BOX 200165, NAKAWA, KAMPALA",WAKISO,"TO PROTECT WILDLIFE SPECIES, CREATING DETERRANCE TOWARDS WILDLIFE PACHING AND TR",FORP0005597NB,FORR163335597NB
189,AFRICAN UNION OF CONSERVATIONISTS,"KAMPALA; MAKERERE UNIVERSITY, HARBARIUM BUILDING; P.O. BOX 5068 KAMPALA",COUNTRYWIDE,"CREATING A FORUM FOR AFRICAN PEOPLE AND CONSERVATIONISTS TO SHARING INFORMATION,",INDR97761546NB,INDP92741546NB
190,AFRICAN UNION OF NGOS FOR DEVELOPMENT,"KAMPALA; P.O. BOX 27946, KAMPALA",COUNTRYWIDE,BRINGING TOGETHER THE ORGANISATIONS ACROSS AFRICA IN CHARGE OF IMPROVING LIVING,CONR13784856NB,CONP000856NB
191,AFRICAN WOMEN AND YOUTH ACTION FOR DEVELOPMENT,KAMPALA; PLOT 5 SSEMAWATA RD NTINDA; BOX 34154 KAMPALA,KAMPALA,"PROMOTING INCLUSIVE ECONOMIC GROWTH FOR IMPROVED LIVELIHOOD, CLIMATE CHANGE AND",INDR12383654NB,INDP12090654NB
192,AFRICAN WOMEN AND YOUTH CANCER &NCDS INTIATIVES,"KAMPALA; BUKOTO,P.O.BOX 26714",KAMPALA,TO PROVIDE QUALITY HEALTH AND PSYCHOSOCIAL SUPPORT TO WOMEN AND YOUTHS IN UGANDA,INDR161005359NB,INDP0005359NB
193,AFRICAN WOMEN RISING,"GULU; PLOT 15, ONONO ROAD- LAROO DIVISION GULU",GULU,TO IMPROVE SOCIAL AND ECONOMIC SITUATION OF WOMEN,INTR77512851NB,INTP75502851NB
194,AFRICAN YOUNG POSTIVE NETWORK,P.O. BOX 4226 KAMPALA,COUNTRYWIDE,PROMOTING REGIONAL NETWORK OF YOUNG PEOPLE LIVING WITH HIV/AIDS AND RESPONDING T,INDR1326831NB,INDP00031NB
195,AFRICAN YOUTH ACTION NETWORK,"PLOT 1001, SUSIE HOUSE ROOM 2.10 NSAMBYA-GGABA ROAD. P.O BOX 16772, KAMPALA","ARUA, KYEGEGWA, KIRYANDONGO, KAMPALA","PROMOTING AND SUPPORTING INITIATIVES THAT STRENGTHEN REFUGEE COMMUNITIES, PROMOT",REGR126465672NB,REGP124575672NB
196,AFRICAN YOUTH DEVELOPMENT LINK,KAMPALA; NTINDA P.O. BOX 5364 KAMPALA,KAMPALA,EMPOWERING AND EQUIPING YOUTHS IN COMMERCIAL AGRICULTURAL SKILLS; HEALTH EDUCATI,INDR138211035NB,INDP0001035NB
197,AFRICAN YOUTH INITIATIVE NETWORK UGANDA(AYINET),"LIRA DISTRICT, PLOT 25, CHURCH ROAD , ADYEL DIVISION , LIRA MUNICIPALITY , LIRA",COUNTRYWIDE,TO SUPPORT EDUCATION TO YOUTH,,
198,"AFRICAN YOUTH WOMEN EMANCIPATION, CHILDREN & COMMU","TORORO; PLOT 17 OLOO DEO ROAD, EASTERN DIVISION TORORO MUNICIPALITY; P.O. BOX 44",TORORO,TO TRANSFORM THE LIFESTYLE OF YOUNG PEOPLE IN DIFFERENT COMMUNITY THROUGH DIFFER,INDR152154108NB,INDP0004108NB
199,AFRICKLES WOMEN'S GROUP,KAMPALA; WANKULUKUKU KABOWA AFTER TOTAL PETRO STATION; P.O. BOX 133 NATEETE,COUNTRYWIDE,ECONOMIC EMPOWERMENT OF DISADVANTAGED WOMEN; SKILLS DEVELOPMENT AND VOCATIONAL T,INDR141611998NB,INDP0001998NB
200,AFRIKARE INITIATIVE UGANDA,"KAMPALA, NAMIREMBE BAKULI PARISH,LUBAGA DIVISION",KAMPALA,"TO CHALLENGE AND PRODUCTIVE UGANDA , PROVIDE YHE HIGEST POSSIBLE LEVEL OF LIVING",INDR164295752NB,INDP0005752NB
201,AFRINSPIRE,MBARARA; BULEMBA ROAD PLOT 134; P.O. BOX 208 MBARARA,ISINGIRO,SUPPORTING INDIGENOUS RURAL DEVELOPMENT INITIATIVES AND COMMUNITY RESILIENCE TO,INDR140791479NB,INDP0001479NB
202,AFRISLUM UGANDA,"KAMPALA DISTRICT,MENGO",KAMPALA,TO PROMOTE THE WELL BEING OF THE URBAN POOR THROUGH HEALTH AND DEVELOPMENTINTER,INDP0003680NB,INDR150423680
